,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,,"Catatan : Khusus hari Jumat,  dimulai pukul 13.30 WIB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Berlaku : Minggu Ke-1 s.d Minggu Ke-15,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Senin,,,,,,,,,,Selasa,,,,,,,,,,Rabu,,,,,,,,,,Kamis,,,,,,,,,,Jumat,,,,,,,,,,,
Sesi,WAKTU,Kode MK,MK,,D1,D2,D3,I1,I2,Grup,Ruang,Kode MK,MK,,D1,D2,D3,I1,I2,Grup,Ruang,Kode MK,MK,,D1,D2,D3,I1,I2,Grup,Ruang,Kode MK,MK,,D1,D2,D3,I1,I2,Grup,Ruang,Kode MK,MK,,D1,D2,D3,I1,I2,Grup,Ruang,,
1,08.00 - 08.50,,,,-,-,-,-,-,11TE2,,14S1203,PAR,T,IHT,-,-,-,-,11TE2,GD712,KUS1201,ENG II,T,RMS,-,-,-,-,11TE2,GD929,KUS1202,PRD,T,ISW,SHT,JBJ,-,-,11TE2,AUD,MAS1201,MADAS II,T,ASH,-,-,-,-,11TE2,GD935,,
1,08.00 - 08.50,KIS1001,KIMDAS B,T,AGA,SFA,-,-,-,11MR1,GD923,21S1201,PIE,T,ANA,FIS,-,-,-,11MR1,GD923,FIS1202,FISDAS IIB,P,GDE,ISW,-,-,-,11MR1,GD917,KUS1202,PRD,T,SHT,JBJ,ISW,-,-,11MR1,AUD,KIS1001,KIMDAS B,T,AGA,SFA,-,-,-,11MR1,GD923,,
1,08.00 - 08.50,KIS1001,KIMDAS B,T,AGA,SFA,-,-,-,11MR2,GD923,21S1201,PIE,T,ANA,FIS,-,-,-,11MR2,GD923,FIS1202,FISDAS IIB,P,GDE,ISW,-,-,-,11MR2,GD917,KUS1202,PRD,T,SHT,JBJ,ISW,-,-,11MR2,AUD,KIS1001,KIMDAS B,T,AGA,SFA,-,-,-,11MR2,GD923,,
1,08.00 - 08.50,FIS1201,FISDAS IIA,T,GDE,-,-,-,-,11TB,GD933,KUS1201,ENG II,T,JYD,-,-,-,-,11TB,GD933,,,,-,-,-,-,-,11TB,,KUS1202,PRD,T,SHT,JBJ,ISW,-,-,11TB,AUD,31S1202,PRAK KIMOR,P,BSS,-,-,-,-,11TB,GD823,,
1,08.00 - 08.50,22S1201,KRISMIN,T,MIM,-,-,-,-,11TM,GD928,FIS1204,FISDAS IIB,T,NMA,ISW,-,-,-,11TM,GD928,MAS1202,MADAS II,T,REG,-,-,-,-,11TM,GD928,KUS1202,PRD,T,ISW,JBJ,SHT,-,-,11TM,AUD,,,,-,-,-,-,-,11TM,,,
1,08.00 - 08.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08.00 - 08.50,KU32202,PNKI,T,TLG,-,-,-,-,32TI1,AUD,1132290,PA II,P,IFY,-,-,-,-,32TI1,GD513,1132203,PASTI,P,RCH,-,-,MAL,-,32TI1,GD516,1132202,TEK.NET,P,TAP,-,-,MEP,THL,32TI1,GD516,1132203,PASTI,P,RCH,-,-,MAL,-,32TI1,GD517,,
1,08.00 - 08.50,KU32202,PNKI,T,TLG,-,-,-,-,32TI2,AUD,1132290,PA II,P,IFY,-,-,-,-,32TI2,GD513,1132203,PASTI,P,RCH,-,-,MAL,-,32TI2,GD516,1132202,TEK.NET,P,TAP,-,-,MEP,THL,32TI2,GD516,1132203,PASTI,P,RCH,-,-,MAL,-,32TI2,GD517,,
1,08.00 - 08.50,KU32202,PNKI,T,TLG,-,-,-,-,32TK1,AUD,,,,-,-,-,-,-,32TK1,,1332203,PA II,P,FST,-,-,-,-,32TK1,GD527,KU32202,PNKI,P,TLG,-,-,-,-,32TK1,GD525,1332202,PLSJ,P,MMS,-,-,EDS,-,32TK1,GD513,,
1,08.00 - 08.50,KU32202,PNKI,T,TLG,-,-,-,-,32TK2,AUD,,,,-,-,-,-,-,32TK2,,1332203,PA II,P,FST,-,-,-,-,32TK2,GD527,KU32202,PNKI,P,TLG,-,-,-,-,32TK2,GD525,1332202,PLSJ,P,MMS,-,-,EDS,-,32TK2,GD513,,
1,08.00 - 08.50,1142201,PBO,T,ADS,-,-,-,-,42TRPL1,GD526,1142203,PAM,P,ADS,TAP,-,AYS,-,42TRPL1,GD517,KU42201,ING IV,T,MPR,-,-,-,-,42TRPL1,GD914,,,,-,-,-,-,-,42TRPL1,,,,,-,-,-,-,-,42TRPL1,,,
1,08.00 - 08.50,1142201,PBO,T,ADS,-,-,-,-,42TRPL2,GD526,1142203,PAM,P,ADS,TAP,-,AYS,-,42TRPL2,GD517,KU42201,ING IV,T,MPR,-,-,-,-,42TRPL2,GD914,,,,-,-,-,-,-,42TRPL2,,,,,-,-,-,-,-,42TRPL2,,,
1,08.00 - 08.50,,,,-,-,-,-,-,12IF1,,10S2203,SISOP,T,HTO,CHP,PHI,-,-,12IF1,GD722,,,,-,-,-,-,-,12IF1,,,,,-,-,-,-,-,12IF1,,,,,-,-,-,-,-,12IF1,,,
1,08.00 - 08.50,,,,-,-,-,-,-,12IF2,,10S2203,SISOP,T,HTO,CHP,PHI,-,-,12IF2,GD722,,,,-,-,-,-,-,12IF2,,,,,-,-,-,-,-,12IF2,,,,,-,-,-,-,-,12IF2,,,
1,08.00 - 08.50,,,,-,-,-,-,-,12SI1,,,,,-,-,-,-,-,12SI1,,10S2203,SISOP,T,HTO,CHP,PHI,-,-,12SI1,GD711,12S2201,ADS,T,PAT,ACB,-,-,-,12SI1,GD712,10S2203,SISOP,T,HTO,CHP,PHI,-,-,12SI1,GD925,,
1,08.00 - 08.50,,,,-,-,-,-,-,12SI2,,,,,-,-,-,-,-,12SI2,,10S2203,SISOP,T,HTO,CHP,PHI,-,-,12SI2,GD711,12S2201,ADS,T,PAT,ACB,-,-,-,12SI2,GD712,10S2203,SISOP,T,HTO,CHP,PHI,-,-,12SI2,GD925,,
1,08.00 - 08.50,14S2205,SINSIS,T,GFP,ARH,-,-,-,12TE1,GD711,10S2203,SISOP,T,HTO,CHP,PHI,-,-,12TE1,GD722,,,,-,-,-,-,-,12TE1,,,,,-,-,-,-,-,12TE1,,,,,-,-,-,-,-,12TE1,,,
1,08.00 - 08.50,14S2205,SINSIS,T,GFP,ARH,-,,,12TE2,GD711,10S2203,SISOP,T,HTO,CHP,PHI,,,12TE2,GD722,,,,-,-,-,,,12TE2,,,,,-,-,-,,,12TE2,,,,,-,-,-,,,12TE2,,,
1,08.00 - 08.50,21S2206,PSL 2,P,SHT,-,-,-,-,12MR1,Lab PSL,21S2207,PEMPRO,T,JBJ,-,-,-,-,12MR1,GD912,21S2205,NRG,T,ISW,-,-,-,-,12MR1,GD924,21S2201,MATLAN,T,REG,-,-,-,-,12MR1,GD924,21S2202,STAINFER,T,FIS,REG,-,-,-,12MR1,GD924,,
1,08.00 - 08.50,21S2206,PSL 2,P,SHT,-,-,-,-,12MR2,GD924,21S2207,PEMPRO,T,JBJ,-,-,-,-,12MR2,GD912,21S2205,NRG,T,ISW,-,-,,-,12MR2,GD924,21S2201,MATLAN,T,REG,-,-,-,-,12MR2,GD924,21S2202,STAINFER,T,FIS,REG,-,-,-,12MR2,GD924,,
1,08.00 - 08.50,,,,-,-,-,-,-,12TB,,31S2206,PEBAL,T,APT,-,-,-,-,12TB,GD934,,,,-,-,-,-,-,12TB,,,,,-,-,-,-,-,12TB,,31S2207,PKB,T,TML,-,-,-,-,12TB,GD933,,
1,08.00 - 08.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08.00 - 08.50,1133290,TA II,T,HER,-,-,-,-,33TI1,GD525,1133290,TA II,P,HER,-,-,-,-,33TI1,GD525,KU33201,ING VI,T,JYD,-,-,-,-,33TI1,GD721,,,,-,-,-,-,-,33TI1,,KU33203,PC,T,-,-,-,-,-,33TI1,AUD,,
1,08.00 - 08.50,1133290,TA II,T,HER,-,-,-,-,33TI2,GD525,1133290,TA II,P,HER,-,-,-,-,33TI2,GD525,KU33201,ING VI,T,JYD,-,-,-,-,33TI2,GD721,,,,-,-,-,-,-,33TI2,,KU33203,PC,T,-,-,-,-,-,33TI2,AUD,,
1,08.00 - 08.50,1333201,TA II,T,IPM,-,-,-,-,33TK1,GD511,,,,-,-,-,-,-,33TK1,,1333202,EPROF,T,SML,GIW,-,-,-,33TK1,GD511,1333290,KP,P,GIW,FST,-,-,-,33TK1,GD526,KU33203,PC,T,-,-,-,-,-,33TK1,AUD,,
1,08.00 - 08.50,1333201,TA II,T,IPM,-,-,-,-,33TK2,GD511,,,,-,-,-,-,-,33TK2,,1333202,EPROF,T,SML,GIW,-,-,-,33TK2,GD511,1333290,KP,P,GIW,FST,-,-,-,33TK2,GD526,KU33203,PC,T,-,-,-,-,-,33TK2,AUD,,
1,08.00 - 08.50,KU43201,ING VI,T,RMM,-,-,-,-,43TRPL1,GD516,1143202,DETING,P,RIS,-,-,THL,-,43TRPL1,GD516,1143201,EPROF,T,GIW,-,-,-,-,43TRPL1,GD525,,,,-,-,-,-,-,43TRPL1,,KU43203,PC,T,MJP,-,-,-,-,43TRPL1,AUD,,
1,08.00 - 08.50,KU43201,ING VI,T,RMM,-,-,-,-,43TRPL2,GD516,1143202,DETING,P,RIS,-,-,THL,-,43TRPL2,GD516,1143201,EPROF,T,GIW,-,-,-,-,43TRPL2,GD525,,,,-,-,-,-,-,43TRPL2,,KU43203,PC,T,MJP,-,-,-,-,43TRPL2,AUD,,
1,08.00 - 08.50,11S3204,KEPAL,T,JHS,-,-,-,-,13IF1,GD712,11S3204,KEPAL,P,JHS,-,-,-,-,13IF1,GD714,11S3207,PM,P,ASD,RSL,-,ASG,RGS,13IF1,GD723,11S3208,MPPL,P,ACB,-,-,ASG,RGS,13IF1,GD723,,,,-,-,-,-,-,13IF1,,,
1,08.00 - 08.50,11S3204,KEPAL,T,JHS,-,-,-,-,13IF2,GD712,11S3204,KEPAL,P,JHS,-,-,-,-,13IF2,GD714,11S3207,PM,P,ASD,RSL,-,ASG,RGS,13IF2,GD723,11S3208,MPPL,P,ACB,-,-,ASG,RGS,13IF2,GD723,,,,-,-,-,-,-,13IF2,,,
1,08.00 - 08.50,,,,-,-,-,-,-,13SI1,,12S3201,ERP,P,PAT,SRT,-,YSP,-,13SI1,GD723,12S3202,DWBI,T,SGS,SEP,-,-,-,13SI1,GD935,12S3204,KESIS,T,SRT,JHS,-,-,-,13SI1,GD711,12S4003,KP,T,JUN,-,-,-,-,13SI1,GD722,,
1,08.00 - 08.50,,,,-,-,-,-,-,13SI2,,12S3201,ERP,P,PAT,SRT,-,YSP,-,13SI2,GD723,12S3202,DWBI,T,SGS,SEP,-,-,-,13SI2,GD935,12S3204,KESIS,T,SRT,JHS,-,-,-,13SI2,GD711,12S4003,KP,T,JUN,-,-,-,-,13SI2,GD722,,
1,08.00 - 08.50,14S3221,JARKOM II,T,ABS,-,-,-,-,13TE1,GD938,14S3205,CERTAN,T,GPS,DPL,-,-,-,13TE1,GD711,KUS2001,ENG III,T,RMM,-,-,-,-,13TE1,GD722,,,,-,-,-,-,-,13TE1,,,,,-,-,-,-,-,13TE1,,,
1,08.00 - 08.50,14S3211,SISKEN,T,IHT,-,-,-,-,13TE2,GD937,14S3205,CERTAN,T,GPS,DPL,-,-,-,13TE2,GD711,KUS2001,ENG III,T,RMM,-,-,-,-,13TE2,GD722,,,,-,-,-,-,-,13TE2,,,,,-,-,-,-,-,13TE2,,,
1,08.00 - 08.50,12S4081,PBDSI,T,SGS,SEP,-,-,-,13MR1,GD934,21S3202,RELOG,T,NSS,-,-,-,-,13MR1,GD929,,,,-,-,-,-,-,13MR1,,,,,-,-,-,-,-,13MR1,,21S3205,METPEN,T,FIS,ANA,-,-,-,13MR1,GD912,,
1,08.00 - 08.50,12S4081,PBDSI,T,SGS,SEP,-,-,-,13MR2,GD934,21S3202,RELOG,T,NSS,-,-,-,-,13MR2,GD929,,,,-,-,-,-,-,13MR2,,,,,-,-,-,-,-,13MR2,,21S3205,METPEN,T,FIS,ANA,-,-,-,13MR2,GD912,,
1,08.00 - 08.50,31S3201,LABTEK,P,TML,-,-,-,-,13TB,GD814,31S3201,LABTEK,P,TML,-,-,-,-,13TB,GD813,31S3202,PIP,T,FBA,-,-,-,-,13TB,GD934,31S3206,TRB,T,MMK,-,-,-,-,13TB,GD934,31S3206,TRB,T,MMK,-,-,-,-,13TB,GD934,,
1,08.00 - 08.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08.00 - 08.50,TI44101,TEKNO,T,RIS,-,-,-,-,44TRPL1,GD523,1144290,TA II,T,ADS,-,-,-,-,44TRPL1,GD523,1144290,TA II,P,ADS,-,-,-,-,44TRPL1,GD523,,,,-,-,-,-,-,44TRPL1,,1144201,SM/SP,P,RIS,OPH,-,-,-,44TRPL1,GD523,,
1,08.00 - 08.50,TI44101,TEKNO,T,RIS,-,-,-,-,44TRPL2,GD523,1144290,TA II,T,ADS,-,-,-,-,44TRPL2,GD523,1144290,TA II,P,ADS,-,-,-,-,44TRPL2,GD523,,,,-,-,-,-,-,44TRPL2,,1144201,SM/SP,P,RIS,OPH,-,-,-,44TRPL2,GD523,,
1,08.00 - 08.50,1144201,SM/SP,T,RIS,-,-,-,-,44TRPL3,GD524,,,,-,-,-,-,-,44TRPL3,,1144190,TA I,P,AMS,-,-,-,#N/A,44TRPL3,GD523,,,,-,-,-,-,-,44TRPL3,,,,,-,-,-,-,-,44TRPL3,,,
1,08.00 - 08.50,11S4093,TA I,P,RDS,-,-,-,-,14IF1,GD713,11S4093,TA I,P,RDS,-,-,-,-,14IF1,GD724,11S4093,TA I,P,RDS,-,-,-,-,14IF1,GD937,,,,-,-,-,-,-,14IF1,,KUS4101,PC,T,-,-,-,-,-,14IF1,AUD,,
1,08.00 - 08.50,11S4094,TA II,P,RDS,-,-,-,-,14IF2,GD713,11S4094,TA II,P,RDS,-,-,-,-,14IF2,GD725,11S4093,TA II,P,RDS,-,-,-,-,14IF2,GD938,,,,-,-,-,-,-,14IF2,,KUS4101,PC,T,-,-,-,-,-,14IF2,AUD,,
1,08.00 - 08.50,12S4001,TA I/II,T,PAT,-,-,-,-,14SI1,GD723,12S4055,STBI,T,RSL,-,-,-,-,14SI1,GD924,,,,-,-,-,-,-,14SI1,,12S4004,SEPRO,T,SGS,-,-,-,-,14SI1,GD721,12S4002,TA I/II,P,PAT,-,-,-,-,14SI1,GD714,,
1,08.00 - 08.50,12S4002,TA I/II,T,PAT,-,-,-,-,14SI2,GD723,12S4055,STBI,T,RSL,-,-,-,-,14SI2,GD924,,,,-,-,-,-,-,14SI2,,12S4004,SEPRO,T,SGS,-,-,-,-,14SI2,GD721,12S4002,TA I/II,P,PAT,-,-,-,-,14SI2,GD714,,
1,08.00 - 08.50,14S4091,TA I/II,T,AFS,-,-,-,-,14TE1,GD724,,,,-,-,-,-,-,14TE1,,,,,-,-,-,-,-,14TE1,,14S4001,EPROF,T,DPL,-,-,-,-,14TE1,GD722,14S4091,TA I,P,AFS,-,-,-,-,14TE1,GD724,,
1,08.00 - 08.50,14S4092,TA I/II,T,AFS,-,-,-,-,14TE2,GD725,,,,-,-,-,-,-,14TE2,,,,,-,-,-,-,-,14TE2,,14S4001,EPROF,T,DPL,-,-,-,-,14TE2,GD722,14S4091,TA I,P,AFS,-,-,-,-,14TE2,GD725,,
1,08.00 - 08.50,21S4201,EPROF,T,ANA,-,-,-,-,14MR1,GD722,21S4205,TEKEU,T,WMS,-,-,-,-,14MR1,GD925,21S4206,PPP,T,SHT,FRED,-,-,-,14MR1,GD925,,,,-,-,-,-,-,14MR1,,,,,-,-,-,-,-,14MR1,,,
1,08.00 - 08.50,21S4201,EPROF,T,ANA,-,-,-,-,14MR2,GD722,21S4205,TEKEU,T,WMS,-,-,-,-,14MR2,GD925,21S4206,PPP,T,SHT,FRED,-,-,-,14MR2,GD925,,,,-,-,-,-,-,14MR2,,,,,-,-,-,-,-,14MR2,,,
1,08.00 - 08.50,12S4081,PBDSI,T,SGS,SEP,-,-,-,14TB,GD934,,,,-,-,-,-,-,14TB,,31S4002,TA II,T,RFK,JYD,-,-,-,14TB,GD943,,,,-,-,-,-,-,14TB,,,,,-,-,-,-,-,14TB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,09.00 - 09.50,,,,-,-,-,-,-,31TI1,,1131203,PPL,T,HER,-,-,-,-,31TI1,GD526,1131203,PPL,P,HER,-,-,-,-,31TI1,GD513,1031201,ALSTRUDAT,P,GHP,-,-,-,-,31TI1,GD517,,,,-,-,-,-,-,31TI1,,,
2,09.00 - 09.50,,,,-,-,-,-,-,31TI2,,1131203,PPL,T,HER,-,-,-,-,31TI2,GD526,1131203,PPL,P,HER,-,-,THL,-,31TI2,GD513,1031201,ALSTRUDAT,P,GHP,-,-,MAL,-,31TI2,GD517,,,,-,-,-,-,-,31TI2,,,
2,09.00 - 09.50,1331205,PA I,T,SML,-,-,-,-,31TK1,GD935,,,,-,-,-,-,-,31TK1,,1331206,PBD,T,HER,-,-,-,-,31TK1,GD721,1331204,PABI,P,MMS,-,-,MEP,IRS,31TK1,GD513,1331204,PABI,P,MMS,-,-,MEP,IRS,31TK1,GD527,,
2,09.00 - 09.50,1331205,PA I,T,SML,-,-,-,-,31TK2,GD935,,,,-,-,-,-,-,31TK2,,1331206,PBD,T,HER,-,-,-,-,31TK2,GD721,1331204,PABI,P,MMS,-,-,MEP,IRS,31TK2,GD513,1331204,PABI,P,MMS,-,-,MEP,IRS,31TK2,GD527,,
2,09.00 - 09.50,,,,-,-,-,-,-,41TRPL1,,1141205,PBD,T,VES,AMS,-,-,-,41TRPL1,GD527,1141205,PBD,P,VES,AMS,-,RAS,-,41TRPL1,GD517,KU41201,ING II,P,RMM,-,-,-,-,41TRPL1,GD914,1141290,PA I,P,AMS,-,-,-,-,41TRPL1,GD511,,
2,09.00 - 09.50,,,,-,-,-,-,-,41TRPL2,,1141205,PBD,T,VES,AMS,-,-,-,41TRPL2,GD527,1141205,PBD,P,VES,AMS,-,RAS,-,41TRPL2,GD517,KU41201,ING II,P,RMM,-,-,-,-,41TRPL2,GD914,1141290,PA I,P,AMS,-,-,-,-,41TRPL2,GD511,,
2,09.00 - 09.50,,,,-,-,-,-,-,41TRPL3,,,,,-,-,-,-,-,41TRPL3,,1141105,PRPL,P,AMS,#N/A,-,MGP,-,41TRPL3,GD524,KU41201,ING II,P,MPR,-,-,-,-,41TRPL3,GD524,1141203,AKPL,P,VES,-,-,MGP,THL,41TRPL3,GD524,,
2,09.00 - 09.50,MAS1201,MADAS II,T,YAG,ARS,-,-,-,11IF1,GD721,FIS1202,FISDAS IIB,T,NMA,-,-,-,-,11IF1,GD937,11S1213,RPL,T,ACB,-,-,-,-,11IF1,GD712,KUS1202,PRD,T,ISW,SHT,JBJ,-,-,11IF1,AUD,11S1213,RPL,T,ACB,-,-,-,-,11IF1,GD712,,
