,,JADWAL PERKULIAHAN SEMESTER PENDEK  T.A 23/24,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Senin,,,,,,,,,,,Selasa,,,,,,,,,,Rabu,,,,,,,,,,Kamis,,,,,,,,,,Jumat,,,,,,,,,,
Sesi,WAKTU,Kode MK,MK,,D1,D2,D3,,I1,I2,Grup,Luring,Kode MK,MK,,D1,D2,D3,I1,I2,Grup,Luring,Kode MK,MK,,D1,D2,D3,I1,I2,Grup,Luring,Kode MK,MK,,D1, D2,D3,I1,I2,Grup,Luring,Kode MK,MK,,D1,D2,D3,I1,I2,Grup,Luring,
1,08.00 - 08.50,,,,-,-,-,,-,-,12SI1,,,,,-,-,-,-,-,12SI1,,,,,-,-,-,-,-,12SI1,,,,,-,-,-,-,-,12SI1,,,,,-,-,-,-,-,12SI1,,
1,08.00 - 08.50,,,,-,-,-,,-,-,12SI2,,,,,-,-,-,-,-,12SI2,,,,,-,-,-,-,-,12SI2,,,,,-,-,-,-,-,12SI2,,,,,-,-,-,-,-,12SI2,,
1,08.00 - 08.50,,,,-,-,-,,-,-,12TE1,,,,,-,-,-,-,-,12TE1,,,,,-,-,-,-,-,12TE1,,,,,-,-,-,-,-,12TE1,,,,,-,-,-,-,-,12TE1,,
1,08.00 - 08.50,,,,-,-,-,,-,-,12TE2,,,,,-,-,-,-,-,12TE2,,,,,-,-,-,-,-,12TE2,,,,,-,-,-,-,-,12TE2,,,,,-,-,-,-,-,12TE2,,
1,08.00 - 08.50,,,,-,-,-,,-,-,12MR1,,,,,-,-,-,-,-,12MR1,,,,,-,-,-,-,-,12MR1,,,,,-,-,-,,-,12MR1,,,,,-,-,-,-,-,12MR1,,
1,08.00 - 08.50,,,,-,-,-,,-,-,12MR2,,,,,-,-,-,-,-,12MR2,,,,,-,-,-,-,-,12MR2,,,,,-,-,-,-,-,12MR2,,,,,-,-,-,-,-,12MR2,,
1,08.00 - 08.50,,,,-,-,-,,-,-,12TB,GD934,,,,-,-,-,-,-,12TB,,,,,-,-,-,-,-,12TB,,,,,-,-,-,-,-,12TB,,,,T,-,-,-,-,-,12TB,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08.00 - 08.50,1144290,TA II,T,AMS,-,-,,-,-,44TRPL3,GD516,1144290,TA II,P,AMS,-,-,-,-,44TRPL3,GD516,1144290,TA II,T,AMS,-,-,-,-,44TRPL3,GD516,1144290,TA II,P,AMS,-,-,-,-,44TRPL3,GD516,1144290,TA II,P,AMS,-,-,-,-,44TRPL3,GD516,
1,08.00 - 08.50,,,,-,-,-,,-,-,13IF1,,,,,-,-,-,-,-,13IF1,,,,,-,-,-,-,-,13IF1,,,,,-,-,-,-,-,13IF1,,,,,-,-,-,-,-,13IF1,,
1,08.00 - 08.50,,,,-,-,-,,-,-,13IF2,,,,,-,-,-,-,-,13IF2,,,,,-,-,-,-,-,13IF2,,,,,-,-,-,-,-,13IF2,,,,,-,-,-,-,-,13IF2,,
